"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","correct_answer","choices"
2991.0299999992276,"<img src=""/uploads/source_fe4c3daf6a0cb4227e22406da377e011/short/img/inst.png"" >","0","html-button-response",0,2994,"0.0-0.0",,"[{""stimulusType"":""image"",""identifier"":""I11"",""filePath"":""img/START.png"",""button"":false}]"
,"<p style=""font-size:10px;"">+</p>",,"html-keyboard-response",1,3497,"0.0-1.0",,
749.7500000008586,"<img src=""/uploads/source_fe4c3daf6a0cb4227e22406da377e011/short/img/F1.png"" >","1","html-button-response",2,4249,"0.0-2.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""O"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:10px;"">+</p>",,"html-keyboard-response",3,4750,"0.0-3.0",,
408.8449999999284,"<img src=""/uploads/source_fe4c3daf6a0cb4227e22406da377e011/short/img/F2.png"" >","0","html-button-response",4,5161,"0.0-4.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""O"",""fontSize"":10,""fontColor"":null}]"
630.154999998922,"<p style=""font-size:40px;"">어려웠을텐데 포기하지 않고 열심히 해주어서 고마워요</p>","0","html-button-response",5,5792,"0.0-5.0",,"[{""stimulusType"":""text"",""identifier"":""T8"",""content"":""물고기 도감을 획득했어!"",""fontSize"":40,""fontColor"":null}]"
405.9049999996205,"<p style=""font-size:10px;"">과제가 어려웠다</p>","2","html-button-response",6,6201,"0.0-6.0",,"[{""stimulusType"":""image"",""identifier"":""I80"",""filePath"":""img/1.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I81"",""filePath"":""img/2.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I82"",""filePath"":""img/3.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I83"",""filePath"":""img/4.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I84"",""filePath"":""img/5.png"",""button"":false}]"
262.2900000005757,"<p style=""font-size:10px;"">과제를 하는 동안 주변에 방해받지 않고 집중 할 수 있었다</p>","3","html-button-response",7,6467,"0.0-7.0",,"[{""stimulusType"":""image"",""identifier"":""I80"",""filePath"":""img/1.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I81"",""filePath"":""img/2.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I82"",""filePath"":""img/3.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I83"",""filePath"":""img/4.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I84"",""filePath"":""img/5.png"",""button"":false}]"
1157.5849999990169,"<p style=""font-size:40px;"">Thank you!</p>",,"html-keyboard-response",8,7626,"0.0-8.0",,
